character,show,season,episode
Noah Johnson,Dr Who,1,10
Christopher Eccleston,Dr Who,1,11
Billie Piper,Dr Who,1,11
William Thomas,Dr Who,1,11
Annette Badland,Dr Who,1,11
John Barrowman,Dr Who,1,11
Noel Clarke,Dr Who,1,11
Mali Harries,Dr Who,1,11
Aled Pedrick,Dr Who,1,11
Alan Ruscoe,Dr Who,1,11
Christopher Eccleston,Dr Who,1,12
Billie Piper,Dr Who,1,12
John Barrowman,Dr Who,1,12
Jo Joyner,Dr Who,1,12
Jamie Bradley,Dr Who,1,12
Abi Eniola,Dr Who,1,12
Davina McCall,Dr Who,1,12
Paterson Joseph,Dr Who,1,12
Jenna Russell,Dr Who,1,12
Anne Robinson,Dr Who,1,12
Trinny Woodall,Dr Who,1,12
Susannah Constantine,Dr Who,1,12
Jo Stone-Fewings,Dr Who,1,12
Nisha Nayar,Dr Who,1,12
Dominic Burgess,Dr Who,1,12
Christopher Eccleston,Dr Who,1,13
Billie Piper,Dr Who,1,13
John Barrowman,Dr Who,1,13
Jo Stone-Fewings,Dr Who,1,13
Jo Joyner,Dr Who,1,13
Paterson Joseph,Dr Who,1,13
Nisha Nayar,Dr Who,1,13
Noel Clarke,Dr Who,1,13
Camille Coduri,Dr Who,1,13
Anne Robinson,Dr Who,1,13
Nicholas Briggs,Dr Who,1,13
Barnaby Edwards,Dr Who,1,13
Nicholas Pegg,Dr Who,1,13
David Hankinson,Dr Who,1,13
Alan Ruscoe,Dr Who,1,13
David Tennant,Dr Who,2,1
Billie Piper,Dr Who,2,1
Camille Coduri,Dr Who,2,1
Noel Clarke,Dr Who,2,1
Penelope Wilton,Dr Who,2,1
Daniel Evans,Dr Who,2,1
Adam Garcia,Dr Who,2,1
Sean Gilder,Dr Who,2,1
Chu Omambala,Dr Who,2,1
Anita Briem,Dr Who,2,1
Sian McDowall,Dr Who,2,1
Paul Anderson,Dr Who,2,1
Cathy Murphy,Dr Who,2,1
Sean Carlsen,Dr Who,2,1
Jason Mohammad,Dr Who,2,1
David Tennant,Dr Who,2,2
Billie Piper,Dr Who,2,2
Camille Coduri,Dr Who,2,2
Noel Clarke,Dr Who,2,2
Zoë Wanamaker,Dr Who,2,2
Sean Gallagher,Dr Who,2,2
Doña Croll,Dr Who,2,2
Michael Fitzgerald,Dr Who,2,2
Lucy Robinson,Dr Who,2,2
Adjoa Andoh,Dr Who,2,2
Anna Hope,Dr Who,2,2
Simon Ludders,Dr Who,2,2
Struan Rodger,Dr Who,2,2
David Tennant,Dr Who,2,3
Billie Piper,Dr Who,2,3
Pauline Collins,Dr Who,2,3
Ian Hanmore,Dr Who,2,3
Michelle Duncan,Dr Who,2,3
Derek Riddell,Dr Who,2,3
Jamie Sives,Dr Who,2,3
Ron Donachie,Dr Who,2,3
Tom Smith,Dr Who,2,3
Ruth Milne,Dr Who,2,3
David Tennant,Dr Who,2,4
Billie Piper,Dr Who,2,4
Noel Clarke,Dr Who,2,4
Anthony Head,Dr Who,2,4
Elisabeth Sladen,Dr Who,2,4
Rod Arthur,Dr Who,2,4
Eugene Washington,Dr Who,2,4
Heather Cameron-McLintock,Dr Who,2,4
Joe Pickley,Dr Who,2,4
Ben Smith,Dr Who,2,4
Clem Tibber,Dr Who,2,4
Lucinda Dryzek,Dr Who,2,4
Caroline Berry,Dr Who,2,4
John Leeson,Dr Who,2,4
David Tennant,Dr Who,2,5
Billie Piper,Dr Who,2,5
Noel Clarke,Dr Who,2,5
Sophia Myles,Dr Who,2,5
Ben Turner,Dr Who,2,5
Jessica Atkins,Dr Who,2,5
Angel Coulby,Dr Who,2,5
Gareth Wyn Griffiths,Dr Who,2,5
Paul Kasey,Dr Who,2,5
Ellen Thomas,Dr Who,2,5
Jonathan Hart,Dr Who,2,5
Emily Joyce,Dr Who,2,5
David Tennant,Dr Who,2,6
Billie Piper,Dr Who,2,6
Camille Coduri,Dr Who,2,6
Noel Clarke,Dr Who,2,6
Shaun Dingwall,Dr Who,2,6
Roger Lloyd Pack,Dr Who,2,6
Andrew Hayden-Smith,Dr Who,2,6
Don Warrington,Dr Who,2,6
Mona Hammond,Dr Who,2,6
Helen Griffin,Dr Who,2,6
Colin Spaull,Dr Who,2,6
Paul Antony-Barber,Dr Who,2,6
Adam Shaw,Dr Who,2,6
Andrew Ufondu,Dr Who,2,6
Duncan Duff,Dr Who,2,6
David Tennant,Dr Who,2,7
Billie Piper,Dr Who,2,7
Camille Coduri,Dr Who,2,7
Noel Clarke,Dr Who,2,7
Shaun Dingwall,Dr Who,2,7
Roger Lloyd Pack,Dr Who,2,7
Andrew Hayden-Smith,Dr Who,2,7
Helen Griffin,Dr Who,2,7
Colin Spaull,Dr Who,2,7
Duncan Duff,Dr Who,2,7
Paul Kasey,Dr Who,2,7
Nicholas Briggs,Dr Who,2,7
David Tennant,Dr Who,2,8
Billie Piper,Dr Who,2,8
Maureen Lipman,Dr Who,2,8
Ron Cook,Dr Who,2,8
Jamie Foreman,Dr Who,2,8
Debra Gillett,Dr Who,2,8
Rory Jennings,Dr Who,2,8
Margaret John,Dr Who,2,8
Sam Cox,Dr Who,2,8
Ieuan Rhys,Dr Who,2,8
Jean Challis,Dr Who,2,8
Christopher Driscoll,Dr Who,2,8
Marie Lewis,Dr Who,2,8
David Tennant,Dr Who,2,9
Billie Piper,Dr Who,2,9
Danny Webb,Dr Who,2,9
Shaun Parkes,Dr Who,2,9
Claire Rushbrook,Dr Who,2,9
Will Thorp,Dr Who,2,9
Ronny Jhutti,Dr Who,2,9
MyAnna Buring,Dr Who,2,9
Paul Kasey,Dr Who,2,9
Gabriel Woolf,Dr Who,2,9
Silas Carson,Dr Who,2,9
David Tennant,Dr Who,2,10
Billie Piper,Dr Who,2,10
Danny Webb,Dr Who,2,10
Shaun Parkes,Dr Who,2,10
Claire Rushbrook,Dr Who,2,10
Will Thorp,Dr Who,2,10
Ronny Jhutti,Dr Who,2,10
Paul Kasey,Dr Who,2,10
Gabriel Woolf,Dr Who,2,10
Silas Carson,Dr Who,2,10
David Tennant,Dr Who,2,11
Billie Piper,Dr Who,2,11
Camille Coduri,Dr Who,2,11
Peter Kay,Dr Who,2,11
Marc Warren,Dr Who,2,11
Shirley Henderson,Dr Who,2,11
Simon Greenall,Dr Who,2,11
Moya Brady,Dr Who,2,11
Kathryn Drysdale,Dr Who,2,11
Paul Kasey,Dr Who,2,11
Bella Emberg,Dr Who,2,11
David Tennant,Dr Who,2,12
Billie Piper,Dr Who,2,12
Nina Sosanya,Dr Who,2,12
Abisola Agbaje,Dr Who,2,12
Edna Doré,Dr Who,2,12
Tim Faraday,Dr Who,2,12
Abdul Salis,Dr Who,2,12
Richard Nichols,Dr Who,2,12
Erica Eirian,Dr Who,2,12
Stephen Marzella,Dr Who,2,12
Huw Edwards,Dr Who,2,12
David Tennant,Dr Who,2,13
Billie Piper,Dr Who,2,13
Camille Coduri,Dr Who,2,13
Noel Clarke,Dr Who,2,13
Tracy Ann Oberman,Dr Who,2,13
Raji James,Dr Who,2,13
Freema Agyeman,Dr Who,2,13
Hadley Fraser,Dr Who,2,13
Oliver Mellor,Dr Who,2,13
Barbara Windsor,Dr Who,2,13
Hajaz Akram,Dr Who,2,13
Anthony Debaeck,Dr Who,2,13
Takako Akashi,Dr Who,2,13
Paul Fields,Dr Who,2,13
David Warwick,Dr Who,2,13
David Tennant,Dr Who,2,14
Billie Piper,Dr Who,2,14
Camille Coduri,Dr Who,2,14
Noel Clarke,Dr Who,2,14
Shaun Dingwall,Dr Who,2,14
Andrew Hayden-Smith,Dr Who,2,14
Tracy Ann Oberman,Dr Who,2,14
Raji James,Dr Who,2,14
Paul Kasey,Dr Who,2,14
Nicholas Briggs,Dr Who,2,14
Barnaby Edwards,Dr Who,2,14
Nicholas Pegg,Dr Who,2,14
Stuart Crossman,Dr Who,2,14
Anthony Spargo,Dr Who,2,14
Dan Barratt,Dr Who,2,14
David Tennant,Dr Who,3,1
Catherine Tate,Dr Who,3,1
Sarah Parish,Dr Who,3,1
Don Gilet,Dr Who,3,1
Howard Attfield,Dr Who,3,1
Jacqueline King,Dr Who,3,1
Trevor Michael Georges,Dr Who,3,1
Glen Wilson,Dr Who,3,1
Krystal Archer,Dr Who,3,1
Rhodri Meilir,Dr Who,3,1
Zafirah Boateng,Dr Who,3,1
Paul Kasey,Dr Who,3,1
David Tennant,Dr Who,3,2
Freema Agyeman,Dr Who,3,2
Anne Reid,Dr Who,3,2
Roy Marsden,Dr Who,3,2
Adjoa Andoh,Dr Who,3,2
Gugu Mbatha-Raw,Dr Who,3,2
Reggie Yates,Dr Who,3,2
Trevor Laird,Dr Who,3,2
Kimmi Richards,Dr Who,3,2
Ben Righton,Dr Who,3,2
Vineeta Rishi,Dr Who,3,2
Paul Kasey,Dr Who,3,2
Nicholas Briggs,Dr Who,3,2
David Tennant,Dr Who,3,3
Freema Agyeman,Dr Who,3,3
Dean Lennox Kelly,Dr Who,3,3
Christina Cole,Dr Who,3,3
Sam Marks,Dr Who,3,3
Amanda Lawrence,Dr Who,3,3
Linda Clark,Dr Who,3,3
Jalaal Hartley,Dr Who,3,3
David Westhead,Dr Who,3,3
Andrée Bernard,Dr Who,3,3
Chris Larkin,Dr Who,3,3
Stephen Marcus,Dr Who,3,3
Matt King,Dr Who,3,3
Robert Demeger,Dr Who,3,3
Angela Pleasence,Dr Who,3,3
David Tennant,Dr Who,3,4
Freema Agyeman,Dr Who,3,4
Ardal O'Hanlon,Dr Who,3,4
Anna Hope,Dr Who,3,4
Travis Oliver,Dr Who,3,4
Lenora Crichlow,Dr Who,3,4
Jennifer Hennessy,Dr Who,3,4
Bridget Turner,Dr Who,3,4
Georgine Anderson,Dr Who,3,4
Simon Pearsall,Dr Who,3,4
Daisy Lewis,Dr Who,3,4
Nicholas Boulton,Dr Who,3,4
Erika Macleod,Dr Who,3,4
Judy Norman,Dr Who,3,4
Graham Padden,Dr Who,3,4
David Tennant,Dr Who,3,5
Freema Agyeman,Dr Who,3,5
Miranda Raison,Dr Who,3,5
Ryan Carnes,Dr Who,3,5
Hugh Quarshie,Dr Who,3,5
Andrew Garfield,Dr Who,3,5
Eric Loren,Dr Who,3,5
Flik Swan,Dr Who,3,5
Alexis Caley,Dr Who,3,5
Earl Perkins,Dr Who,3,5
Peter Brooke,Dr Who,3,5
Ian Porter,Dr Who,3,5
Joe Montana,Dr Who,3,5
Stewart Alexander,Dr Who,3,5
Mel Taylor,Dr Who,3,5
David Tennant,Dr Who,3,6
Freema Agyeman,Dr Who,3,6
Miranda Raison,Dr Who,3,6
Ryan Carnes,Dr Who,3,6
Hugh Quarshie,Dr Who,3,6
Andrew Garfield,Dr Who,3,6
Eric Loren,Dr Who,3,6
Earl Perkins,Dr Who,3,6
Barnaby Edwards,Dr Who,3,6
Nicholas Pegg,Dr Who,3,6
David Hankinson,Dr Who,3,6
Paul Kasey,Dr Who,3,6
Ian Porter,Dr Who,3,6
David Tennant,Dr Who,3,7
Freema Agyeman,Dr Who,3,7
Gugu Mbatha-Raw,Dr Who,3,7
Reggie Yates,Dr Who,3,7
Adjoa Andoh,Dr Who,3,7
Mark Gatiss,Dr Who,3,7
Thelma Barlow,Dr Who,3,7
Lucy O'Connell,Dr Who,3,7
Bertie Carvel,Dr Who,3,7
David Tennant,Dr Who,3,8
Freema Agyeman,Dr Who,3,8
Michelle Collins,Dr Who,3,8
Adjoa Andoh,Dr Who,3,8
William Ash,Dr Who,3,8
Anthony Flanagan,Dr Who,3,8
Matthew Chambers,Dr Who,3,8
Gary Powell,Dr Who,3,8
Vinette Robinson,Dr Who,3,8
Rebecca Oldfield,Dr Who,3,8
Elize du Toit,Dr Who,3,8
David Tennant,Dr Who,3,9
Freema Agyeman,Dr Who,3,9
Jessica Hynes,Dr Who,3,9
Rebekah Staton,Dr Who,3,9
Thomas Brodie-Sangster,Dr Who,3,9
Harry Lloyd,Dr Who,3,9
Tom Palmer,Dr Who,3,9
Gerard Horan,Dr Who,3,9
Lor Wilson,Dr Who,3,9
Pip Torrens,Dr Who,3,9
Matthew White,Dr Who,3,9
Derek Smith,Dr Who,3,9
Peter Bourke,Dr Who,3,9
David Tennant,Dr Who,3,10
Freema Agyeman,Dr Who,3,10
Jessica Hynes,Dr Who,3,10
Rebekah Staton,Dr Who,3,10
Thomas Brodie-Sangster,Dr Who,3,10
Harry Lloyd,Dr Who,3,10
Tom Palmer,Dr Who,3,10
Gerard Horan,Dr Who,3,10
Lor Wilson,Dr Who,3,10
Pip Torrens,Dr Who,3,10
Matthew White,Dr Who,3,10
Sophie Turner,Dr Who,3,10
David Tennant,Dr Who,3,11
Freema Agyeman,Dr Who,3,11
Carey Mulligan,Dr Who,3,11
Lucy Gaskell,Dr Who,3,11
Finlay Robertson,Dr Who,3,11
Richard Cant,Dr Who,3,11
Michael Obiora,Dr Who,3,11
Louis Mahoney,Dr Who,3,11
Thomas Nelstrop,Dr Who,3,11
Ian Boldsworth,Dr Who,3,11
Raymond Sawyer,Dr Who,3,11
David Tennant,Dr Who,3,12
Freema Agyeman,Dr Who,3,12
John Barrowman,Dr Who,3,12
Derek Jacobi,Dr Who,3,12
Chipo Chung,Dr Who,3,12
René Zagger,Dr Who,3,12
Neil Reidman,Dr Who,3,12
Paul Marc Davis,Dr Who,3,12
Robert Forknall,Dr Who,3,12
John Bell,Dr Who,3,12
Deborah MacLaren,Dr Who,3,12
Abigail Canton,Dr Who,3,12
John Simm,Dr Who,3,12
David Tennant,Dr Who,3,13
Freema Agyeman,Dr Who,3,13
John Barrowman,Dr Who,3,13
John Simm,Dr Who,3,13
Adjoa Andoh,Dr Who,3,13
Gugu Mbatha-Raw,Dr Who,3,13
Trevor Laird,Dr Who,3,13
Reggie Yates,Dr Who,3,13
Alexandra Moen,Dr Who,3,13
Colin Stinton,Dr Who,3,13
Nichola McAuliffe,Dr Who,3,13
Nicholas Gecks,Dr Who,3,13
Sharon Osbourne,Dr Who,3,13
McFly,Dr Who,3,13
Ann Widdecombe,Dr Who,3,13
David Tennant,Dr Who,3,14
Freema Agyeman,Dr Who,3,14
John Barrowman,Dr Who,3,14
John Simm,Dr Who,3,14
Adjoa Andoh,Dr Who,3,14
Gugu Mbatha-Raw,Dr Who,3,14
Trevor Laird,Dr Who,3,14
Reggie Yates,Dr Who,3,14
Alexandra Moen,Dr Who,3,14
Tom Ellis,Dr Who,3,14
Ellie Haddington,Dr Who,3,14
Tom Golding,Dr Who,3,14
Natasha Alexander,Dr Who,3,14
Zoe Thorne,Dr Who,3,14
Gerard Logan,Dr Who,3,14
David Tennant,Dr Who,4,1
Kylie Minogue,Dr Who,4,1
Geoffrey Palmer,Dr Who,4,1
Russell Tovey,Dr Who,4,1
George Costigan,Dr Who,4,1
Gray O'Brien,Dr Who,4,1
Andrew Havill,Dr Who,4,1
Bruce Lawrence,Dr Who,4,1
Debbie Chazen,Dr Who,4,1
Clive Rowe,Dr Who,4,1
Clive Swift,Dr Who,4,1
Jimmy Vee,Dr Who,4,1
Bernard Cribbins,Dr Who,4,1
Nicholas Witchell,Dr Who,4,1
Paul Kasey,Dr Who,4,1
David Tennant,Dr Who,4,2
Catherine Tate,Dr Who,4,2
Billie Piper,Dr Who,4,2
Sarah Lancashire,Dr Who,4,2
Bernard Cribbins,Dr Who,4,2
Jacqueline King,Dr Who,4,2
Verona Joseph,Dr Who,4,2
Jessica Gunning,Dr Who,4,2
Martin Ball,Dr Who,4,2
Rachid Sabitri,Dr Who,4,2
Chandra Ruegg,Dr Who,4,2
Sue Kelvin,Dr Who,4,2
Jonathan Stratt,Dr Who,4,2
David Tennant,Dr Who,4,3
Catherine Tate,Dr Who,4,3
Phil Cornwell,Dr Who,4,3
Karen Gillan,Dr Who,4,3
Sasha Behar,Dr Who,4,3
Lorraine Burroughs,Dr Who,4,3
Peter Capaldi,Dr Who,4,3
Tracey Childs,Dr Who,4,3
Francesca Fowler,Dr Who,4,3
François Pandolfo,Dr Who,4,3
Victoria Wicks,Dr Who,4,3
Gerard Bell,Dr Who,4,3
Phil Davis,Dr Who,4,3
David Tennant,Dr Who,4,4
Catherine Tate,Dr Who,4,4
Tim McInnerny,Dr Who,4,4
Ayesha Dharker,Dr Who,4,4
Adrian Rawlins,Dr Who,4,4
Roger Griffiths,Dr Who,4,4
Paul Clayton,Dr Who,4,4
Paul Kasey,Dr Who,4,4
Tariq Jordan,Dr Who,4,4
Silas Carson,Dr Who,4,4
David Tennant,Dr Who,4,5
Catherine Tate,Dr Who,4,5
Freema Agyeman,Dr Who,4,5
Bernard Cribbins,Dr Who,4,5
Jacqueline King,Dr Who,4,5
Ryan Sampson,Dr Who,4,5
Rupert Holliday-Evans,Dr Who,4,5
Christopher Ryan,Dr Who,4,5
Dan Starkey,Dr Who,4,5
Eleanor Matsuura,Dr Who,4,5
Clive Standen,Dr Who,4,5
Wesley Theobald,Dr Who,4,5
Christian Cooke,Dr Who,4,5
Radoslaw Kaim,Dr Who,4,5
Elizabeth Rider,Dr Who,4,5
David Tennant,Dr Who,4,6
Catherine Tate,Dr Who,4,6
Freema Agyeman,Dr Who,4,6
Billie Piper,Dr Who,4,6
Bernard Cribbins,Dr Who,4,6
Jacqueline King,Dr Who,4,6
Ryan Sampson,Dr Who,4,6
Rupert Holliday-Evans,Dr Who,4,6
Christopher Ryan,Dr Who,4,6
Dan Starkey,Dr Who,4,6
Clive Standen,Dr Who,4,6
Wesley Theobald,Dr Who,4,6
Christian Cooke,Dr Who,4,6
Meryl Fernandes,Dr Who,4,6
Leeshon Alexander,Dr Who,4,6
David Tennant,Dr Who,4,7
Catherine Tate,Dr Who,4,7
Freema Agyeman,Dr Who,4,7
Georgia Moffett,Dr Who,4,7
Nigel Terry,Dr Who,4,7
Joe Dempsie,Dr Who,4,7
Paul Kasey,Dr Who,4,7
Ruari Mears,Dr Who,4,7
Akin Gazi,Dr Who,4,7
Lekan Lawal,Dr Who,4,7
David Tennant,Dr Who,4,8
Catherine Tate,Dr Who,4,8
Fenella Woolgar,Dr Who,4,8
Felicity Kendal,Dr Who,4,8
Tom Goodman-Hill,Dr Who,4,8
Christopher Benjamin,Dr Who,4,8
Felicity Jones,Dr Who,4,8
Adam Rayner,Dr Who,4,8
David Quilter,Dr Who,4,8
Daniel King,Dr Who,4,8
Ian Barritt,Dr Who,4,8
Leena Dhingra,Dr Who,4,8
Charlotte Eaton,Dr Who,4,8
David Tennant,Dr Who,4,9
Catherine Tate,Dr Who,4,9
Alex Kingston,Dr Who,4,9
Colin Salmon,Dr Who,4,9
Eve Newton,Dr Who,4,9
Mark Dexter,Dr Who,4,9
Sarah Niles,Dr Who,4,9
Josh Dallas,Dr Who,4,9
Jessika Williams,Dr Who,4,9
Steve Pemberton,Dr Who,4,9
Talulah Riley,Dr Who,4,9
O-T Fagbenle,Dr Who,4,9
Harry Peacock,Dr Who,4,9
David Tennant,Dr Who,4,10
Catherine Tate,Dr Who,4,10
Alex Kingston,Dr Who,4,10
Colin Salmon,Dr Who,4,10
Harry Peacock,Dr Who,4,10
Steve Pemberton,Dr Who,4,10
Jessika Williams,Dr Who,4,10
O-T Fagbenle,Dr Who,4,10
Eve Newton,Dr Who,4,10
Mark Dexter,Dr Who,4,10
Jason Pitt,Dr Who,4,10
Eloise Rakic-Platt,Dr Who,4,10
Alex Midwood,Dr Who,4,10
Talulah Riley,Dr Who,4,10
Jonathan Reuben,Dr Who,4,10
David Tennant,Dr Who,4,11
Catherine Tate,Dr Who,4,11
Billie Piper,Dr Who,4,11
Rakie Ayola,Dr Who,4,11
Lesley Sharp,Dr Who,4,11
David Troughton,Dr Who,4,11
Ayesha Antoine,Dr Who,4,11
Lindsey Coulson,Dr Who,4,11
Daniel Ryan,Dr Who,4,11
Colin Morgan,Dr Who,4,11
Tony Bluto,Dr Who,4,11
Duane Henry,Dr Who,4,11
David Tennant,Dr Who,4,12
Catherine Tate,Dr Who,4,12
Billie Piper,Dr Who,4,12
Bernard Cribbins,Dr Who,4,12
Jacqueline King,Dr Who,4,12
Joseph Long,Dr Who,4,12
Noma Dumezweni,Dr Who,4,12
Chipo Chung,Dr Who,4,12
Marcia Lecky,Dr Who,4,12
Suzann McLean,Dr Who,4,12
Natalie Walter,Dr Who,4,12
Neil Clench,Dr Who,4,12
Clive Standen,Dr Who,4,12
Bhasker Patel,Dr Who,4,12
Catherine York,Dr Who,4,12
David Tennant,Dr Who,4,13
Catherine Tate,Dr Who,4,13
Billie Piper,Dr Who,4,13
Freema Agyeman,Dr Who,4,13
John Barrowman,Dr Who,4,13
Elisabeth Sladen,Dr Who,4,13
Penelope Wilton,Dr Who,4,13
Gareth David-Lloyd,Dr Who,4,13
Eve Myles,Dr Who,4,13
Tommy Knight,Dr Who,4,13
Bernard Cribbins,Dr Who,4,13
Jacqueline King,Dr Who,4,13
Adjoa Andoh,Dr Who,4,13
Julian Bleach,Dr Who,4,13
Michael Brandon,Dr Who,4,13
David Tennant,Dr Who,4,14
Catherine Tate,Dr Who,4,14
Billie Piper,Dr Who,4,14
Freema Agyeman,Dr Who,4,14
John Barrowman,Dr Who,4,14
Elisabeth Sladen,Dr Who,4,14
Noel Clarke,Dr Who,4,14
Camille Coduri,Dr Who,4,14
Gareth David-Lloyd,Dr Who,4,14
Eve Myles,Dr Who,4,14
Tommy Knight,Dr Who,4,14
Bernard Cribbins,Dr Who,4,14
Jacqueline King,Dr Who,4,14
Adjoa Andoh,Dr Who,4,14
Julian Bleach,Dr Who,4,14
Matt Smith,Dr Who,5,1
Karen Gillan,Dr Who,5,1
Arthur Darvill,Dr Who,5,1
Caitlin Blackwood,Dr Who,5,1
Nina Wadia,Dr Who,5,1
Marcello Magni,Dr Who,5,1
Perry Benson,Dr Who,5,1
Annette Crosbie,Dr Who,5,1
Tom Hopper,Dr Who,5,1
Arthur Cox,Dr Who,5,1
Olivia Colman,Dr Who,5,1
Eden Monteath,Dr Who,5,1
Merin Monteath,Dr Who,5,1
David de Keyser,Dr Who,5,1
William Wilde,Dr Who,5,1
Matt Smith,Dr Who,5,2
Karen Gillan,Dr Who,5,2
Sophie Okonedo,Dr Who,5,2
Terrence Hardiman,Dr Who,5,2
Hannah Sharp,Dr Who,5,2
Alfie Field,Dr Who,5,2
Christopher Good,Dr Who,5,2
David Ajala,Dr Who,5,2
Catrin Richards,Dr Who,5,2
Jonathan Battersby,Dr Who,5,2
Chris Porter,Dr Who,5,2
Ian McNeice,Dr Who,5,2
Matt Smith,Dr Who,5,3
Karen Gillan,Dr Who,5,3
Ian McNeice,Dr Who,5,3
Bill Paterson,Dr Who,5,3
Nina De Cosimo,Dr Who,5,3
Tim Wallers,Dr Who,5,3
Nicholas Pegg,Dr Who,5,3
Barnaby Edwards,Dr Who,5,3
Nicholas Briggs,Dr Who,5,3
Susannah Fielding,Dr Who,5,3
James Albrecht,Dr Who,5,3
Colin Prockter,Dr Who,5,3
Matt Smith,Dr Who,5,4
Karen Gillan,Dr Who,5,4
Alex Kingston,Dr Who,5,4
Simon Dutton,Dr Who,5,4
Mike Skinner,Dr Who,5,4
Iain Glen,Dr Who,5,4
Mark Springer,Dr Who,5,4
Troy Glasgow,Dr Who,5,4
David Atkins,Dr Who,5,4
Darren Morfitt,Dr Who,5,4
Matt Smith,Dr Who,5,5
Karen Gillan,Dr Who,5,5
Alex Kingston,Dr Who,5,5
Iain Glen,Dr Who,5,5
David Atkins,Dr Who,5,5
Darren Morfitt,Dr Who,5,5
Mark Monero,Dr Who,5,5
George Russo,Dr Who,5,5
Matt Smith,Dr Who,5,6
Karen Gillan,Dr Who,5,6
Arthur Darvill,Dr Who,5,6
Helen McCrory,Dr Who,5,6
Lucian Msamati,Dr Who,5,6
Alisha Bailey,Dr Who,5,6
Alex Price,Dr Who,5,6
Gabriella Wilde,Dr Who,5,6
Hannah Steele,Dr Who,5,6
Elizabeth Croft,Dr Who,5,6
Sonila Vjeshta,Dr Who,5,6
Gabriela Montaraz,Dr Who,5,6
Michael Percival,Dr Who,5,6
Simon Gregor,Dr Who,5,6
Matt Smith,Dr Who,5,7
Karen Gillan,Dr Who,5,7
Arthur Darvill,Dr Who,5,7
Toby Jones,Dr Who,5,7
Nick Hobbs,Dr Who,5,7
Joan Linder,Dr Who,5,7
Audrey Ardington,Dr Who,5,7
Matt Smith,Dr Who,5,8
Karen Gillan,Dr Who,5,8
Arthur Darvill,Dr Who,5,8
Neve McIntosh,Dr Who,5,8
Meera Syal,Dr Who,5,8
Robert Pugh,Dr Who,5,8
Nia Roberts,Dr Who,5,8
Alun Raglan,Dr Who,5,8
Sam Davies,Dr Who,5,8
Matt Smith,Dr Who,5,9
Karen Gillan,Dr Who,5,9
Arthur Darvill,Dr Who,5,9
Neve McIntosh,Dr Who,5,9
Meera Syal,Dr Who,5,9
Robert Pugh,Dr Who,5,9
Nia Roberts,Dr Who,5,9
Richard Hope,Dr Who,5,9
Stephen Moore,Dr Who,5,9
Alun Raglan,Dr Who,5,9
Sam Davies,Dr Who,5,9
Matt Smith,Dr Who,5,10
Karen Gillan,Dr Who,5,10
Tony Curran,Dr Who,5,10
Nik Howden,Dr Who,5,10
Chrissie Cotterill,Dr Who,5,10
Sarah Counsell,Dr Who,5,10
Morgan Overton,Dr Who,5,10
Andrew Byrne,Dr Who,5,10
Matt Smith,Dr Who,5,11
Karen Gillan,Dr Who,5,11
James Corden,Dr Who,5,11
Daisy Haggard,Dr Who,5,11
Owen Donovan,Dr Who,5,11
Babatunde Aleshe,Dr Who,5,11
Jem Wall,Dr Who,5,11
Karen Seacombe,Dr Who,5,11
Kamara Bacchus,Dr Who,5,11
Matt Smith,Dr Who,5,12
Karen Gillan,Dr Who,5,12
Alex Kingston,Dr Who,5,12
Arthur Darvill,Dr Who,5,12
Tony Curran,Dr Who,5,12
Bill Paterson,Dr Who,5,12
Ian McNeice,Dr Who,5,12
Sophie Okonedo,Dr Who,5,12
Marcus O'Donovan,Dr Who,5,12
Clive Wood,Dr Who,5,12
Christopher Ryan,Dr Who,5,12
Ruari Mears,Dr Who,5,12
Paul Kasey,Dr Who,5,12
Howard Lee,Dr Who,5,12
Barnaby Edwards,Dr Who,5,12
Matt Smith,Dr Who,5,13
Karen Gillan,Dr Who,5,13
Alex Kingston,Dr Who,5,13
Arthur Darvill,Dr Who,5,13
Caitlin Blackwood,Dr Who,5,13
Susan Vidler,Dr Who,5,13
Franc Ashman,Dr Who,5,13
Barnaby Edwards,Dr Who,5,13
William Pretsell,Dr Who,5,13
Halcro Johnston,Dr Who,5,13
Karen Westwood,Dr Who,5,13
Nicholas Briggs,Dr Who,5,13
Matt Smith,Dr Who,6,1
Karen Gillan,Dr Who,6,1
Arthur Darvill,Dr Who,6,1
Michael Gambon,Dr Who,6,1
Katherine Jenkins,Dr Who,6,1
Laurence Belcher,Dr Who,6,1
Danny Horn,Dr Who,6,1
Leo Bill,Dr Who,6,1
Pooky Quesnel,Dr Who,6,1
Micah Balfour,Dr Who,6,1
Steve North,Dr Who,6,1
Bailey Pepper,Dr Who,6,1
Tim Plester,Dr Who,6,1
Nick Malinowski,Dr Who,6,1
Laura Rogers,Dr Who,6,1
Matt Smith,Dr Who,6,2
Karen Gillan,Dr Who,6,2
Arthur Darvill,Dr Who,6,2
Alex Kingston,Dr Who,6,2
Mark Sheppard,Dr Who,6,2
William Morgan Sheppard,Dr Who,6,2
Marnix Van Den Broeke,Dr Who,6,2
Stuart Milligan,Dr Who,6,2
Chukwudi Iwuji,Dr Who,6,2
Mark Griffin,Dr Who,6,2
Sydney Wade,Dr Who,6,2
Nancy Baldwin,Dr Who,6,2
Kieran O'Connor,Dr Who,6,2
Adam Napier,Dr Who,6,2
Henrietta Clemett,Dr Who,6,2
Matt Smith,Dr Who,6,3
Karen Gillan,Dr Who,6,3
